nome,genero,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,salario_bruto_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem
GUILHERME MUSSI FERREIRA,M,55 dias,22 dias,15 dias,0 reuniões,1 reuniões,2 reuniões,14/10/1982,"167.339,76","13.411,67","40.786,13","29.938,94","21.082,66","27.120,16","3.643,94","8.274,08","7.555,10","5.000,20","10.287,16",não contabilizados,não contabilizados,33763.0,"167.339,76","111.423,08","111.370,21","110.695,37","111.335,52","111.363,58","111.326,61","111.432,25","111.611,10","111.611,10","111.611,10",não contabilizados,não contabilizados,33763.0,
LUIZ AUGUSTO CARVALHO RIBEIRO FILHO,M,76 dias,6 dias,10 dias,9 reuniões,17 reuniões,3 reuniões,16/02/1982,"356.515,99","7.595,71","72.060,11","19.440,13","61.050,02","53.501,99","62.592,98","9.368,45","5.296,21","4.189,16","61.421,23",não contabilizados,não contabilizados,33763.0,"356.515,99","111.671,61","111.671,61","111.671,61","111.671,61","111.671,61","111.671,61","111.671,61","111.671,61","111.671,61","111.671,61",não contabilizados,não contabilizados,33763.0,
HEITOR RODRIGO PEREIRA FREIRE,M,79 dias,0 dias,13 dias,21 reuniões,30 reuniões,20 reuniões,08/10/1981,"438.893,06","44.459,28","22.147,14","58.578,83","44.388,99","47.573,98","24.699,86","52.243,35","24.034,75","32.084,10","78.682,78",não contabilizados,não contabilizados,33763.0,"438.893,06","111.447,23","110.953,30","110.359,50","110.475,29","111.481,10","109.817,62","111.314,25","111.150,06","110.377,84","109.281,31",não contabilizados,não contabilizados,33763.0,1
HEITOR JOSE SCHUCH,M,78 dias,2 dias,12 dias,27 reuniões,4 reuniões,4 reuniões,25/03/1962,"321.812,45","17.534,05","27.229,69","43.226,49","47.628,10","71.235,90","26.290,08","28.128,15","20.506,74","19.998,13","18.646,87",não contabilizados,não contabilizados,33763.0,"321.812,45","107.595,60","107.595,60","107.595,60","110.706,76","111.653,64","111.528,48","108.951,61","106.686,31","103.422,30","103.422,30",não contabilizados,não contabilizados,33763.0,
HELDER IGNACIO SALOMAO,M,88 dias,1 dias,3 dias,35 reuniões,11 reuniões,9 reuniões,08/03/1964,"288.776,51","22.858,70","46.569,54","43.715,68","35.739,34","39.193,71","25.804,13","25.901,62","20.309,17","15.007,85","13.093,49",não contabilizados,não contabilizados,33763.0,"288.776,51","108.620,67","108.620,67","108.620,67","108.620,67","108.620,67","111.370,72","111.465,55","111.465,55","111.465,55","111.465,55",não contabilizados,não contabilizados,33763.0,1
HÉLIO FRANCISCO DA COSTA,M,86 dias,0 dias,6 dias,41 reuniões,11 reuniões,4 reuniões,03/03/1954,"365.514,32","30.626,82","25.895,84","42.089,22","59.253,62","53.304,15","42.968,62","28.285,02","47.223,51","18.135,05","13.981,26",não contabilizados,não contabilizados,33763.0,"365.514,32","108.966,57","108.966,57","105.181,11","107.906,65","111.392,87","111.392,87","111.392,87","110.279,50","111.392,87","90.758,58",não contabilizados,não contabilizados,33763.0,
HERCULANO CASTILHO PASSOS JUNIOR,M,87 dias,2 dias,3 dias,38 reuniões,4 reuniões,8 reuniões,04/08/1956,"365.289,60","64.568,22","41.807,38","37.578,21","27.556,28","42.217,44","32.275,57","29.438,11","26.350,96","36.350,30","26.507,24",não contabilizados,não contabilizados,33763.0,"365.289,60","111.004,62","107.856,45","107.856,45","110.100,81","104.656,25","104.938,80","100.880,76","102.189,81","104.938,80","110.420,89",não contabilizados,não contabilizados,33763.0,
HERMES PARCIANELLO,M,76 dias,11 dias,5 dias,0 reuniões,24 reuniões,0 reuniões,25/04/1958,"323.233,63","23.550,01","91.180,85","21.686,73","22.782,96","98.142,11","27.564,61","19.639,11","9.399,11","6.442,33","2.845,81",não contabilizados,não contabilizados,33763.0,"323.233,63","111.531,28","111.653,59","111.465,33","111.601,60","110.761,67","111.617,19","108.353,75","111.617,15","110.465,86","106.312,30",não contabilizados,não contabilizados,33763.0,
HILDO AUGUSTO DA ROCHA NETO,M,88 dias,1 dias,3 dias,47 reuniões,12 reuniões,1 reuniões,22/04/1960,"330.754,16","37.771,29","41.668,52","63.474,79","41.172,58","35.711,78","37.398,45","27.224,54","14.043,48","2.003,75","29.767,50",não contabilizados,não contabilizados,33763.0,"330.754,16","111.592,93","111.592,93","111.065,20","111.592,93","111.592,93","107.958,49","84.561,70","86.983,92","86.983,92","86.983,92",não contabilizados,não contabilizados,33763.0,4
HELIO FERNANDO BARBOSA LOPES,M,85 dias,5 dias,2 dias,11 reuniões,19 reuniões,2 reuniões,28/03/1969,"333.128,93","26.662,70","20.129,73","23.968,89","15.959,57","126.009,87","40.424,07","19.559,06","19.728,52","21.207,48","18.877,17",não contabilizados,não contabilizados,33763.0,"333.128,93","100.983,71","100.983,71","105.907,19","107.619,71","109.879,71","110.955,90","110.955,90","110.955,90","110.955,90","110.955,90",não contabilizados,não contabilizados,33763.0,
HENRIQUE FONTANA JÚNIOR,M,87 dias,2 dias,3 dias,10 reuniões,8 reuniões,2 reuniões,18/01/1960,"243.460,56","15.878,57","12.589,61","38.772,48","30.692,56","39.615,05","29.232,23","31.433,45","19.791,30","9.180,71","16.274,60",não contabilizados,não contabilizados,33763.0,"243.460,56","111.204,73","110.084,73","107.446,09","105.775,84","105.862,69","107.355,35","110.206,59","105.283,68","110.660,36","111.580,75",não contabilizados,não contabilizados,33763.0,
HELIO LEITE DA SILVA,M,86 dias,3 dias,3 dias,26 reuniões,39 reuniões,0 reuniões,09/12/1957,"345.255,89","38.353,51","33.114,24","50.848,23","40.083,76","82.360,81","17.710,54","18.649,82","15.787,41","9.334,72","38.622,84",não contabilizados,não contabilizados,33763.0,"345.255,89","111.538,26","111.538,26","111.538,26","111.538,26","111.538,26","111.538,26","111.538,26","111.538,26","111.538,26","111.467,04",não contabilizados,não contabilizados,33763.0,
HIRAN MANUEL GONCALVES DA SILVA,M,77 dias,11 dias,4 dias,27 reuniões,18 reuniões,3 reuniões,19/06/1957,"375.045,21","34.740,26","45.379,55","50.365,66","68.428,93","60.380,39","35.706,97","31.871,73","12.574,08","14.926,10","20.671,54",não contabilizados,não contabilizados,33763.0,"375.045,21","81.241,74","91.423,62","101.326,80","102.815,66","102.432,93","106.282,44","110.906,64","111.574,66","111.574,66","108.457,22",não contabilizados,não contabilizados,33763.0,1
LUIZ BENES LEOCADIO DE ARAUJO,M,88 dias,1 dias,3 dias,35 reuniões,6 reuniões,2 reuniões,22/04/1966,"352.784,66","32.697,33","37.181,80","51.640,86","47.232,83","43.851,34","39.594,20","33.482,93","21.709,18","17.997,68","27.006,51",não contabilizados,não contabilizados,33763.0,"352.784,66","110.203,77","110.203,77","106.658,99","104.203,11","106.527,95","105.841,47","105.921,33","105.964,18","107.249,74","107.227,43",não contabilizados,não contabilizados,33763.0,
JOSÉ ROBERTO OLIVEIRA FARO,M,82 dias,10 dias,0 dias,5 reuniões,17 reuniões,0 reuniões,20/06/1969,"348.358,45","50.640,64","51.528,80","53.130,42","38.245,47","56.264,93","15.343,49","16.815,59","14.152,72","12.879,36","11.197,03",não contabilizados,não contabilizados,33763.0,"348.358,45","111.210,84","110.666,21","109.899,05","111.210,84","111.210,84","110.568,67","110.434,02","111.210,84","111.210,84","109.510,45",não contabilizados,não contabilizados,33763.0,
HUMBERTO REZENDE PEREIRA,M,87 dias,3 dias,2 dias,29 reuniões,42 reuniões,3 reuniões,14/11/1977,"317.620,57","31.302,38","37.733,45","46.071,17","46.424,41","43.050,57","37.786,28","29.839,31","16.128,37","5.877,55","23.407,08",não contabilizados,não contabilizados,33763.0,"317.620,57","111.514,04","111.586,80","110.868,87","111.514,00","111.457,65","111.586,78","110.672,43","111.629,28","111.629,28","111.629,28",não contabilizados,não contabilizados,33763.0,
CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,M,77 dias,2 dias,13 dias,18 reuniões,7 reuniões,9 reuniões,01/02/1982,"417.583,23","38.508,13","49.871,28","49.026,92","51.520,30","44.584,40","32.245,60","35.040,79","36.239,48","26.275,26","54.271,07",não contabilizados,não contabilizados,33763.0,"417.583,23","111.436,53","111.580,74","111.495,03","111.145,61","111.498,95","111.507,99","111.507,99","111.485,68","111.392,71","111.406,01",não contabilizados,não contabilizados,33763.0,
HUGO MOTTA WANDERLEY DA NÓBREGA,M,78 dias,5 dias,9 dias,0 reuniões,18 reuniões,6 reuniões,11/09/1989,"304.004,53","42.647,30","52.115,97","50.321,06","50.233,24","33.832,88","19.843,09","21.744,93","18.363,15","3.236,29","10.960,30",não contabilizados,não contabilizados,33763.0,"304.004,53","111.572,21","111.586,88","111.586,88","111.586,88","111.552,45","111.623,28","111.623,28","111.623,28","111.623,28","111.623,28",não contabilizados,não contabilizados,33763.0,
HUGO LEAL MELO DA SILVA,M,83 dias,7 dias,2 dias,70 reuniões,31 reuniões,1 reuniões,06/08/1962,"267.274,34","40.671,93","32.691,99","34.664,43","37.481,29","39.390,80","39.996,77","11.917,66","7.954,59","11.414,08","10.676,95",não contabilizados,não contabilizados,33763.0,"267.274,34","101.280,05","101.256,77","102.301,08","103.730,03","106.151,93","99.244,75","96.057,39","87.682,43","83.827,22","85.341,40",não contabilizados,não contabilizados,33763.0,
ALCIBIO MESQUITA BIBO NUNES,M,90 dias,0 dias,2 dias,33 reuniões,21 reuniões,2 reuniões,09/01/1957,"442.619,00","36.377,50","114.136,35","111.815,04","46.216,96","43.243,88","31.393,94","31.363,41","21.004,27","5.421,62","1.646,03",não contabilizados,não contabilizados,33763.0,"442.619,00","107.838,27","106.661,35","107.626,01","107.100,08","108.678,71","110.863,76","102.938,79","80.792,43","71.989,13","73.592,08",não contabilizados,não contabilizados,33763.0,
UBIRAJARA DO PINDARÉ ALMEIDA SOUSA,M,82 dias,0 dias,10 dias,21 reuniões,26 reuniões,10 reuniões,01/11/1968,"395.081,21","20.679,85","23.825,08","34.402,73","76.284,21","96.746,00","27.251,80","28.044,88","18.372,93","31.746,67","37.651,58",não contabilizados,não contabilizados,33763.0,"395.081,21","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65",não contabilizados,não contabilizados,33763.0,
OLAVO BILAC PINTO NETO,M,80 dias,7 dias,5 dias,54 reuniões,7 reuniões,3 reuniões,08/06/1963,"366.957,28","38.107,55","39.391,23","36.766,95","36.370,18","36.320,33","35.989,93","35.978,06","36.058,35","36.004,29","35.970,41",não contabilizados,não contabilizados,33763.0,"366.957,28","111.532,26","111.532,26","111.532,26","111.532,26","111.532,26","110.224,07","111.532,26","111.532,26","111.532,26","111.532,26",não contabilizados,não contabilizados,33763.0,
ELVINO JOSÉ BOHN GASS,M,90 dias,0 dias,2 dias,24 reuniões,15 reuniões,0 reuniões,05/02/1962,"362.192,59","30.693,35","43.896,78","51.772,61","63.215,02","45.029,72","40.093,42","35.113,72","22.679,14","13.260,28","15.328,65",não contabilizados,não contabilizados,33763.0,"362.192,59","111.641,36","111.557,99","111.508,13","111.641,38","111.641,38","110.811,40","111.604,98","111.604,98","111.604,98","109.839,67",não contabilizados,não contabilizados,33763.0,
JOÃO BOSCO DA COSTA,M,88 dias,2 dias,2 dias,37 reuniões,9 reuniões,0 reuniões,28/09/1950,"381.415,21","31.663,79","50.001,03","50.347,54","42.678,14","42.852,09","50.270,89","42.871,55","39.751,16","27.086,09","3.892,93",não contabilizados,não contabilizados,33763.0,"381.415,21","109.107,22","111.544,51","111.544,51","111.544,51","111.544,51","111.544,51","111.544,51","106.200,33","104.641,61","107.654,94",não contabilizados,não contabilizados,33763.0,
JOÃO BOSCO GOMES SARAIVA,M,71 dias,18 dias,3 dias,16 reuniões,9 reuniões,1 reuniões,10/10/1959,"442.571,13","36.572,34","70.842,66","44.263,27","65.965,82","34.723,62","32.000,51","62.345,58","33.068,34","15.213,66","45.530,25",não contabilizados,não contabilizados,33763.0,"442.571,13","111.611,12","111.611,12","109.394,55","111.611,12","111.611,12","111.393,56","111.146,01","111.574,73","111.574,73","111.210,17",não contabilizados,não contabilizados,33763.0,
NICOLINO BOZZELLA JUNIOR,M,83 dias,1 dias,8 dias,42 reuniões,9 reuniões,5 reuniões,17/08/1980,"331.580,49","31.567,57","39.636,09","43.735,10","36.718,08","40.304,87","30.143,90","40.029,84","26.482,22","25.062,37","16.682,72",não contabilizados,não contabilizados,33763.0,"331.580,49","111.623,09","111.642,57","107.512,59","110.707,93","111.134,28","111.357,59","110.509,90","111.392,57","111.392,57","111.388,46",não contabilizados,não contabilizados,33763.0,
ALBERTO BARROS CAVALCANTE NETO,M,88 dias,2 dias,2 dias,66 reuniões,3 reuniões,1 reuniões,05/05/1982,"268.303,10","10.761,97","32.144,12","50.784,42","59.974,73","36.167,69","18.635,29","18.846,91","9.376,93","3.645,06","27.765,98",não contabilizados,não contabilizados,33763.0,"268.303,10","111.524,06","108.183,95","109.814,87","109.505,49","111.520,15","111.370,71","111.635,38","111.635,38","111.635,38","111.635,38",não contabilizados,não contabilizados,33763.0,
GUILHERME MURARO DERRITE,M,90 dias,2 dias,0 dias,21 reuniões,0 reuniões,0 reuniões,10/10/1984,"318.929,77","33.369,05","48.294,13","42.375,69","37.535,61","31.336,58","34.084,37","31.084,94","27.610,70","13.353,72","19.884,98",não contabilizados,não contabilizados,33763.0,"318.929,77","111.429,18","111.429,18","111.078,93","111.198,68","111.198,68","111.198,68","104.902,34","104.902,34","104.902,34","104.902,34",não contabilizados,não contabilizados,33763.0,
CARLOS CAMILO GÓES CAPIBERIBE,M,89 dias,0 dias,3 dias,67 reuniões,20 reuniões,5 reuniões,23/05/1972,"340.932,11","57.270,81","54.545,96","40.139,58","50.674,76","29.912,43","32.899,67","36.174,05","9.998,80","8.076,55","21.239,50",não contabilizados,não contabilizados,33763.0,"340.932,11","111.508,06","111.508,06","111.508,06","111.508,06","110.034,25","109.670,30","105.908,91","110.137,58","107.941,38","108.704,50",não contabilizados,não contabilizados,33763.0,
FABIO ABREU COSTA,M,90 dias,1 dias,1 dias,56 reuniões,9 reuniões,0 reuniões,31/12/1972,"415.287,33","27.176,43","43.044,36","37.886,06","54.828,28","65.451,97","38.676,13","33.219,21","38.283,53","44.917,64","30.801,48",não contabilizados,não contabilizados,33763.0,"415.287,33","111.501,54","111.425,25","109.950,47","110.995,45","111.125,87","111.505,00","111.580,82","111.580,83","111.580,83","111.061,64",não contabilizados,não contabilizados,33763.0,
JOSE AUGUSTO ROSA,M,85 dias,4 dias,3 dias,29 reuniões,39 reuniões,2 reuniões,04/10/1966,"303.764,68","32.590,99","32.708,93","42.982,94","38.181,18","46.093,18","19.473,47","21.678,43","15.614,72","14.321,17","37.541,05",não contabilizados,não contabilizados,33763.0,"303.764,68","111.659,59","110.586,80","107.796,83","111.659,59","111.659,59","111.659,59","110.759,70","110.888,26","111.659,59","111.659,59",não contabilizados,não contabilizados,33763.0,
CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,M,71 dias,16 dias,5 dias,12 reuniões,14 reuniões,3 reuniões,03/11/1979,"370.012,26","30.097,59","41.252,22","49.713,11","49.721,69","45.749,21","41.212,41","38.074,00","37.034,37","15.768,01","21.168,63",não contabilizados,não contabilizados,33763.0,"370.012,26","107.850,28","108.483,94","109.030,38","109.215,09","109.215,09","107.121,98","105.670,31","109.215,09","109.215,09","109.215,09",não contabilizados,não contabilizados,33763.0,
CARLOS ALBERTO CHIODINI,M,85 dias,3 dias,4 dias,25 reuniões,8 reuniões,6 reuniões,08/03/1982,"264.102,62","21.142,87","33.080,35","34.458,92","35.659,60","28.696,29","31.410,11","38.827,88","16.920,33","11.149,03","11.990,98",não contabilizados,não contabilizados,33763.0,"264.102,62","110.052,14","109.597,20","107.219,44","108.994,73","109.943,02","110.230,95","107.098,15","107.098,15","107.098,15","110.896,73",não contabilizados,não contabilizados,33763.0,2
ANTONIO CARLOS GOMES DA SILVA,M,92 dias,0 dias,0 dias,21 reuniões,4 reuniões,2 reuniões,13/06/1972,"273.109,72","18.748,87","25.578,63","34.691,71","31.224,22","55.517,35","34.811,05","23.121,54","21.226,21","9.739,25","16.929,54",não contabilizados,não contabilizados,33763.0,"273.109,72","92.948,89","99.271,45","96.032,28","98.637,08","102.490,61","102.621,52","102.621,52","104.715,99","106.679,56","106.679,56",não contabilizados,não contabilizados,33763.0,
CARLOS HENRIQUE AMORIM,M,79 dias,12 dias,1 dias,33 reuniões,24 reuniões,1 reuniões,21/04/1961,"379.726,43","38.480,40","54.727,25","51.686,19","49.827,56","38.169,71","34.594,12","36.583,75","31.857,00","13.993,12","27.863,38",não contabilizados,não contabilizados,33763.0,"379.726,43","107.089,41","100.838,78","96.663,69","98.112,79","100.925,82","94.627,79","96.910,28","103.302,09","107.870,51","108.426,55",não contabilizados,não contabilizados,33763.0,
Carlos Roberto Coelho de Mattos Júnior,M,84 dias,5 dias,3 dias,10 reuniões,0 reuniões,0 reuniões,08/02/1982,"200.049,25","17.012,14","21.954,01","27.544,00","16.413,28","29.052,38","31.940,35","20.649,20","10.845,10","8.771,04","14.632,54",não contabilizados,não contabilizados,33763.0,"200.049,25","107.840,49","111.522,26","105.827,62","98.809,78","110.447,03","111.102,14","104.135,41","108.845,03","110.375,04","110.523,12",não contabilizados,não contabilizados,33763.0,
CARLOS HENRIQUE FOCESI SAMPAIO,M,87 dias,4 dias,1 dias,14 reuniões,5 reuniões,0 reuniões,31/03/1963,"317.099,50","25.615,74","56.684,49","51.456,20","45.438,40","42.806,53","22.600,90","21.181,85","14.951,58","15.364,01","20.999,80",não contabilizados,não contabilizados,33763.0,"317.099,50","103.852,96","107.767,17","108.820,89","108.820,89","108.689,99","104.762,85","103.243,66","104.762,85","104.762,85","103.901,13",não contabilizados,não contabilizados,33763.0,
JOSÉ NOBRE GUIMARÃES,M,87 dias,0 dias,5 dias,30 reuniões,6 reuniões,1 reuniões,13/02/1957,"333.700,79","35.580,92","49.264,70","53.330,78","44.056,16","39.099,98","40.522,75","38.743,31","5.167,09","5.484,15","22.450,95",não contabilizados,não contabilizados,33763.0,"333.700,79","111.580,82","111.580,82","106.516,85","111.349,50","111.617,20","111.617,20","110.824,75","111.580,83","111.580,83","111.580,83",não contabilizados,não contabilizados,33763.0,
JOSE MARIO SCHREINER,M,90 dias,1 dias,1 dias,23 reuniões,18 reuniões,1 reuniões,08/02/1961,"323.143,92","32.378,68","34.131,00","35.150,44","34.335,14","33.895,08","34.419,78","30.802,48","30.264,95","28.822,57","28.943,80",não contabilizados,não contabilizados,33763.0,"323.143,92","109.957,51","110.458,63","111.653,60","110.841,99","107.595,56","106.178,18","102.628,43","103.537,52","103.537,52","100.093,12",não contabilizados,não contabilizados,33763.0,
JOSE ANTONIO DOS SANTOS MEDEIROS,M,91 dias,0 dias,1 dias,13 reuniões,12 reuniões,0 reuniões,19/03/1970,"426.112,57","41.612,96","57.092,54","53.792,40","51.560,09","69.600,74","44.189,19","32.055,20","28.733,60","28.925,42","18.420,03",não contabilizados,não contabilizados,33763.0,"426.112,57","111.465,46","107.407,42","107.407,42","109.785,43","97.298,23","106.682,36","111.653,49","111.653,49","111.653,49","111.653,49",não contabilizados,não contabilizados,33763.0,1
JOSÉ NELTO LAGARES DAS MERCEZ,M,76 dias,7 dias,9 dias,11 reuniões,27 reuniões,6 reuniões,19/09/1960,"359.343,92","18.842,70","31.027,78","65.930,97","33.393,00","58.347,09","9.066,40","44.447,74","45.204,58","52.635,69","447,97",não contabilizados,não contabilizados,33763.0,"359.343,92","111.520,25","111.520,25","111.520,25","111.520,25","111.520,25","109.841,23","111.520,25","111.134,58","111.411,47","108.256,81",não contabilizados,não contabilizados,33763.0,
JOSÉ BENITO PRIANTE JÚNIOR,M,74 dias,15 dias,3 dias,2 reuniões,0 reuniões,0 reuniões,02/12/1963,"244.951,04","14.028,01","21.611,02","36.293,55","46.059,11","26.042,21","30.264,32","17.847,28","45.184,97","5.617,88","1.912,68",não contabilizados,não contabilizados,33763.0,"244.951,04","97.088,45","100.844,39","98.958,69","98.302,80","98.302,80","98.302,80","98.302,80","101.247,86","101.450,97","98.059,58",não contabilizados,não contabilizados,33763.0,
JOSÉ RICARDO WENDLING,M,87 dias,1 dias,4 dias,52 reuniões,2 reuniões,1 reuniões,23/06/1964,"382.583,27","47.539,51","48.226,11","44.947,97","40.154,45","56.607,85","45.635,99","32.568,83","18.088,42","9.458,98","36.000,03",não contabilizados,não contabilizados,33763.0,"382.583,27","111.659,66","111.659,66","111.659,66","111.659,66","111.659,66","111.659,66","111.659,66","111.659,66","111.659,66","111.659,66",não contabilizados,não contabilizados,33763.0,
JOSÉ ALVES ROCHA,M,82 dias,0 dias,10 dias,43 reuniões,30 reuniões,14 reuniões,18/08/1948,"354.547,78","25.275,02","33.000,03","37.777,87","42.689,97","36.822,12","29.942,35","43.118,28","38.255,35","34.624,45","20.042,34",não contabilizados,não contabilizados,33763.0,"354.547,78","111.617,11","111.617,11","111.617,11","111.617,11","111.617,11","111.617,11","111.617,11","111.617,11","111.617,11","111.617,11",não contabilizados,não contabilizados,33763.0,1
GULLIEM CHARLES BEZERRA LEMOS,M,82 dias,7 dias,3 dias,11 reuniões,13 reuniões,2 reuniões,05/01/1976,"289.412,76","38.644,26","43.307,15","46.413,68","34.292,95","40.271,63","18.048,99","23.755,06","10.112,59","13.734,90","20.831,55",não contabilizados,não contabilizados,33763.0,"289.412,76","106.277,34","110.741,87","107.850,38","102.147,71","106.945,98","111.544,27","111.280,11","111.064,87","110.913,41","94.968,94",não contabilizados,não contabilizados,33763.0,
JULIO CESAR RIBEIRO,M,87 dias,3 dias,2 dias,60 reuniões,6 reuniões,6 reuniões,24/02/1975,"264.972,41","26.890,10","28.619,85","35.118,26","31.477,20","38.418,47","33.269,13","13.143,92","14.635,22","24.623,70","18.776,56",não contabilizados,não contabilizados,33763.0,"264.972,41","110.759,02","105.263,07","106.792,55","108.795,61","111.223,92","109.230,11","110.628,48","110.962,29","111.235,06","109.124,74",não contabilizados,não contabilizados,33763.0,
JÚLIO CÉSAR DE CARVALHO LIMA,M,86 dias,2 dias,4 dias,29 reuniões,2 reuniões,1 reuniões,25/08/1948,"336.363,06","48.212,84","33.482,83","56.838,12","35.813,07","40.211,43","44.250,16","29.186,93","16.972,21","8.076,85","23.318,62",não contabilizados,não contabilizados,33763.0,"336.363,06","111.538,26","111.538,26","111.538,26","111.538,26","111.538,26","111.501,88","111.501,88","111.161,80","111.501,88","111.191,15",não contabilizados,não contabilizados,33763.0,
JOSEILDO RIBEIRO RAMOS,M,84 dias,5 dias,3 dias,33 reuniões,2 reuniões,0 reuniões,23/08/1957,"400.810,51","60.500,14","44.516,13","51.988,63","37.649,80","23.871,94","49.876,84","34.364,16","32.616,98","28.446,92","36.561,73",não contabilizados,não contabilizados,33763.0,"400.810,51","110.975,34","111.192,49","111.192,49","111.134,29","111.501,09","111.538,26","111.538,26","111.538,26","111.538,26","111.430,66",não contabilizados,não contabilizados,33763.0,
JÚLIO CÉSAR DELGADO,M,91 dias,1 dias,0 dias,48 reuniões,31 reuniões,0 reuniões,18/11/1966,"248.637,15","23.586,52","35.296,45","37.276,65","34.364,11","56.841,53","17.475,27","17.669,93","11.169,38","4.631,02","9.882,75",não contabilizados,não contabilizados,33763.0,"248.637,15","110.986,45","110.986,45","111.235,30","111.531,30","111.550,51","109.027,34","111.593,02","110.694,89","111.562,28","110.639,05",não contabilizados,não contabilizados,33763.0,
JUAREZ ALVES DA COSTA,M,76 dias,2 dias,14 dias,30 reuniões,4 reuniões,10 reuniões,20/01/1960,"292.602,49","33.762,77","33.266,96","40.259,36","37.858,68","49.103,29","26.328,45","25.776,41","20.924,48","16.871,27","8.450,82",não contabilizados,não contabilizados,33763.0,"292.602,49","111.162,37","111.162,37","111.162,37","111.162,37","111.162,37","111.162,37","111.162,37","111.162,37","109.674,42","108.806,09",não contabilizados,não contabilizados,33763.0,
GERALDO JUNIO DO AMARAL,M,91 dias,0 dias,1 dias,30 reuniões,0 reuniões,0 reuniões,30/06/1987,"181.155,78","18.060,29","15.136,46","25.610,69","31.335,45","31.129,39","17.956,64","18.110,53","6.532,70","3.657,75","12.777,63",não contabilizados,não contabilizados,33763.0,"181.155,78","111.244,01","111.568,64","104.078,91","107.929,17","107.929,17","107.929,17","104.584,75","101.899,75","98.331,82","102.672,03",não contabilizados,não contabilizados,33763.0,
ROGERIO TEIXEIRA JUNIOR,M,90 dias,2 dias,0 dias,25 reuniões,22 reuniões,0 reuniões,23/10/1976,"341.881,97","33.072,15","34.365,28","31.977,44","39.661,39","44.814,09","26.560,48","25.486,90","17.046,65","12.279,37","74.480,11",não contabilizados,não contabilizados,33763.0,"341.881,97","108.921,19","110.894,43","111.659,58","111.659,58","111.659,58","111.659,58","111.659,58","111.430,45","111.319,90","111.319,90",não contabilizados,não contabilizados,33763.0,
JOSIVALDO DOS SANTOS MELO,M,88 dias,0 dias,4 dias,29 reuniões,0 reuniões,6 reuniões,29/11/1983,"285.152,49","21.390,12","50.216,34","69.141,88","54.516,89","31.532,54","14.146,15","9.948,48","25.223,10","5.493,00","3.348,14",não contabilizados,não contabilizados,33763.0,"285.152,49","109.834,64","109.133,04","108.673,14","108.126,11","109.322,96","109.689,09","110.179,61","108.448,10","109.154,46","104.914,27",não contabilizados,não contabilizados,33763.0,
JOÃO FERRARI JÚNIOR,M,90 dias,2 dias,0 dias,9 reuniões,3 reuniões,0 reuniões,13/07/1967,"101.898,88","8.680,31","8.762,84","8.003,19","21.597,73","19.604,33","15.478,69","6.864,46","622,21","109,48","11.725,84",não contabilizados,não contabilizados,33763.0,"101.898,88","110.937,81","110.937,81","110.937,81","110.654,13","111.456,53","111.089,43","111.089,43","111.089,43","111.089,43","111.089,43",não contabilizados,não contabilizados,33763.0,
ANTÔNIO LUIZ RODRIGUES MANO JÚNIOR,M,67 dias,17 dias,8 dias,6 reuniões,30 reuniões,3 reuniões,16/04/1985,"277.111,84","35.529,67","16.147,74","37.180,59","37.869,41","76.496,63","42.600,85","18.616,90","5.577,94","2.414,69","4.677,42",não contabilizados,não contabilizados,33763.0,"277.111,84","111.053,08","111.053,08","111.053,08","111.053,08","111.053,08","111.053,08","111.053,08","110.753,12","109.724,67","109.724,67",não contabilizados,não contabilizados,33763.0,
JOSE JUSCELINO DOS SANTOS REZENDE FILHO,M,85 dias,3 dias,4 dias,1 reuniões,1 reuniões,0 reuniões,06/11/1984,"391.234,28","39.558,44","52.848,98","44.643,51","50.698,44","48.470,78","55.791,11","40.356,17","36.000,27","18.177,58","4.637,09",não contabilizados,não contabilizados,33763.0,"391.234,28","110.507,02","110.507,02","111.186,79","111.532,15","110.332,30","110.764,64","111.228,88","111.228,88","111.228,88","111.228,88",não contabilizados,não contabilizados,33763.0,
JOSE LOURENÇO BOMFIM JUNIOR,M,54 dias,26 dias,12 dias,0 reuniões,20 reuniões,1 reuniões,18/10/1978,"331.069,51","11.881,07","43.757,09","57.829,96","32.636,52","44.333,41","47.598,39","27.942,49","30.668,11","18.880,73","15.541,74",não contabilizados,não contabilizados,33763.0,"331.069,51","111.524,91","111.594,60","111.623,20","111.623,20","111.592,68","111.586,81","111.586,81","111.586,81","111.586,81","111.586,81",não contabilizados,não contabilizados,33763.0,
